HomeTeam,AwayTeam,Home,Draw,Away,HomeDecimal,DrawDecimal,AwayDecimal,B365H,B365D,B365A,bet,Proba,Kelly,betDatePortion,Date,runningMoney,BetAmount,refill,withdraw
JS Soualem,HUSA Agadir,190,180,140,2.9,2.8,2.4,2.9,2.8,2.4,D,0.48785937880050334,0.2033368114674496,0.012431394194670563,2022-06-28,10,0.12431394194670563,0,0
Mouloudia Oujda,WAC Casablanca,375,145,100,4.75,2.45,2.0,4.75,2.45,2.0,A,0.5135018550729559,0.02700371014591174,0.010421718663100597,2022-06-28,10,0.10421718663100597,0,0
Kjelsås,Skeid,175,275,110,2.75,3.75,2.1,2.75,3.75,2.1,A,0.5169451890258534,0.07780445177662923,0.010964828085086222,2022-06-28,10,0.10964828085086223,0,0
Bray Wanderers U19,Athlone Town U19,-125,333,200,1.8,4.33,3.0,1.8,4.33,3.0,H,0.6009406464590541,0.10211645453287177,0.011234671946735095,2022-06-28,10,0.11234671946735095,0,0
Daegu FC,Pohang Steelers,162,225,145,2.62,3.25,2.45,2.62,3.25,2.45,D,0.4188461314557883,0.16055552321391645,0.011910778835874807,2022-06-28,10,0.11910778835874808,0,0
Azam FC,Biashara United Mara,-138,220,350,1.7246376811594204,3.2,4.5,1.7246376811594204,3.2,4.5,H,0.8347401252057891,0.6066814979897781,0.018607593487914548,2022-06-28,10,0.18607593487914548,0,0
Kagera Sugar,Polisi Tanzania FC,-138,220,350,1.7246376811594204,3.2,4.5,1.7246376811594204,3.2,4.5,H,0.8347401252057891,0.6066814979897781,0.018607593487914548,2022-06-28,10,0.18607593487914548,0,0
Ruvu Shooting,Tanzania Prisons,125,175,225,2.25,2.75,3.25,2.25,2.75,3.25,H,0.4632157551955965,0.033788359352073624,0.010492666775227772,2022-06-28,10,0.10492666775227771,0,0
Young Africans FC,Mtibwa Sugar,-225,275,550,1.4444444444444444,3.75,6.5,1.4444444444444444,3.75,6.5,H,0.7874513565819588,0.309216908891366,0.013819838887482042,2022-06-28,10,0.13819838887482042,0,0
Hartford Athletic,Colorado Springs,210,250,-106,3.1,3.5,1.9433962264150944,3.1,3.5,1.9433962264150944,D,0.3745754583343319,0.1244056416680647,0.011487895239312564,2022-06-28,10,0.11487895239312565,0,0
Cleveland Force,Kings Hammer FC,550,375,-300,6.5,4.75,1.3333333333333333,6.5,4.75,1.3333333333333333,A,0.76597644414347,0.06390577657387987,0.010813485666703123,2022-06-28,10,0.10813485666703122,0,0
Tennessee SC,Peachtree City,-120,250,250,1.8333333333333333,3.5,3.5,1.8333333333333333,3.5,3.5,H,0.5709816339766093,0.05615959474854036,0.01073004602709402,2022-06-28,10,0.1073004602709402,0,0
New Jersey Copa,Hudson Valley Hammers,-118,333,187,1.847457627118644,4.33,2.87,1.847457627118644,4.33,2.87,H,0.5895941868710739,0.1053153273789411,0.011270667776105775,2022-06-28,10,0.11270667776105775,0,0
South Georgia Tormenta FC Women,Chattanooga Red Wolves Women,-150,333,275,1.6666666666666663,4.33,3.75,1.6666666666666663,4.33,3.75,H,0.6633792587205476,0.15844814680136873,0.011885704771026993,2022-06-28,10,0.11885704771026992,0,0
Hibernian,Hartlepool,-163,275,333,1.6134969325153374,3.75,4.33,1.6134969325153374,3.75,4.33,H,0.6768727549757924,0.15017534558633386,0.011787782303188787,2022-06-28,10,0.11787782303188787,0,0
Larne,The New Saints,190,275,100,2.9,3.75,2.0,2.9,3.75,2.0,A,0.544479472523326,0.08895894504665192,0.011087819866421838,2022-06-28,10,0.11087819866421837,0,0
Raith,Queen of South,-163,300,300,1.6134969325153374,4.0,4.0,1.6134969325153374,4.0,4.0,H,0.6650207760571191,0.11900464103022314,0.01142601636414104,2022-06-28,10,0.1142601636414104,0,0
